# title_pages_by_crc — кросс-проектная reference (crc32 → титульные страницы + confidence). Источник: Checker title-detector (opus_checker title_zone.py, OCR-on-suspect). Прогон 2026-06-18: 451 bundle, high 449 / low 2. Делимитер ; (в file_name есть запятые). Джойн по crc32 (DEC-006). confidence=high → титул найден (текст-якорь «ПРОЕКТНАЯ ДОКУМЕНТАЦИЯ» ИЛИ OCR-восстановлен растр/битый, anomaly=title_ocr_recovered). low=2 (no_title_at_start) — под-книги без своего титула (verified human: 61-23 ИОС2.2, ОДИ-лавка). Строки # пропускать.
crc32;file_name;cover_pages;title_anchor_pages;anomaly;confidence
e6b53970;07.08.2023_163-2021-КР.pdf;1-4;"2;3;4";;high
cc62ed07;071122-ИОС5.pdf (1).pdf;1-2;"1;2";;high
382244bf;07_11_22-ИОС1.1.pdf;1-3;"1;2";;high
c60c37bf;07_11_22-ИОС1.2.pdf;1-2;"1;2";;high
e8fd8f5e;07_11_22-ИОС1.3.pdf;1-2;"1;2";;high
f8cbdcd8;10. 07-2022-ТБЭ.pdf;1-5;"1;2;5";;high
8965eed4;10_428-2022-ОДИ.pdf;1-4;"2;3;4";;high
0cdfdf98;10_ТБЭ_071122.pdf;1-2;"1;2";;high
4a453984;11. 07-2022-ОДИ.pdf;1-4;"1;2;4";;high
61f22ac2;13.1_ГОЧС полный.pdf;1-2;"1;2";;high
b3274c12;13_2022-ИЛО2 на эксп.pdf;1-3;"1;2";;high
b6428947;13_2022-ИЛО3.pdf;1-3;"1;2;3";;high
252580fa;13_2022-ООС.pdf;1-4;"1;2;3;4";;high
8057aa71;13_2022-ППО.pdf;1;1;;high
29783c8b;13_2022-ТКР-3 Том 3.3 АСУТП.pdf;1-2;"1;2";;high
1659e53d;13_2022-ТКР1 Том 3.1 газ.pdf;1-2;"1;2";;high
86fcca61;163-2021-ИОС1.pdf;1-4;"2;3;4";;high
79c6ba10;163-2021-ИОС2.pdf;1-4;"2;3;4";;high
e632ddd6;163-2021-ИОС3.pdf;1-4;"2;3;4";;high
b8e58027;163-2021-ИОС4.pdf;1-4;"2;3;4";;high
1995d9fb;163-2021-ИОС5.1-СС.pdf;1-4;"2;3;4";;high
33e3011f;163-2021-ИОС5.2 -СС.pdf;1-4;"2;3;4";;high
c53c253b;163-2021-ПЗУ.pdf;1-4;"2;3;4";;high
92295f6b;2. 07-2022-ПЗУ.pdf;1-5;"1;2;5";;high
753020ec;2.2 Раздел ПД №4 Конструктивные решения.pdf;1-2;"1;2";;high
ed0923af;2.3 Раздел ПД №7 Проект организации строительства.pdf;1-2;"1;2";;high
6986e7c2;2023-11-21 АР.pdf;1-2;"1;2";;high
c1d29105;27-03-23-ИОС6.pdf;1;1;;high
8f138e41;2_ПЗУ_071122.pdf;1-2;"1;2";;high
5de3e423;3 Раздел ПД №12 Смета на строительство, реконструкцию, капитальный ремонт.pdf;1-2;"1;2";;high
384a15ad;3. 07-2022-АР.pdf;1-5;"1;2;5";;high
f0719548;3. АР ЛЕН17.pdf;1-2;"1;2";;high
ca292747;3.2.1 КР_ул_Рязанская_д_13 (1.1).pdf;1-2;"1;2";;high
a7280fb6;3.2.1_КР_пр-т Ленина 23_5.pdf;1-2;"1;2";;high
d0e622e8;3.3.1 ПОКР_ Ленина 23_5.pdf;1-7;"1;2;7";;high
ab8ea2ea;3.3.1 ПОКР_ул Рязанская, д. 13 (1.1).pdf;1-2;"1;2";;high
74f9acfd;360-1-ИОС2.pdf;1-2;1;;high
44e177d1;360-1-ИОС3.pdf;1-2;1;;high
b9002ee2;360-1-ОДИ.pdf;1-2;1;;high
d465288c;360-1-ТБЭ.Храм.pdf;1-2;1;;high
6b3f071d;360-1-ЭОМ_2023.08.02.pdf;1-2;1;;high
dee20148;360-2-ИОС2.pdf;1-2;1;;high
ca826f2f;360-2-ИОС3.pdf;1-2;1;;high
5c194d00;360-2-ИОС5.1.pdf;1-2;"1;2";;high
dc1268db;360-ИОС2.2.pdf;;;no_title_at_start;low
a035a22e;360-ООС.pdf;1-2;1;;high
471bb706;360-ПЗУ.pdf;1-2;1;;high
119cdab9;360-ПОС.pdf;1-2;1;;high
b35c6aaa;3_428-22-АР.pdf;1-4;"2;3;4";;high
9f7fded8;3_АР_071122.pdf;1-2;"1;2";;high
30a7bed0;3_АР_Лавка.pdf;1-2;1;;high
2456ef5d;3_АР_Раздел ПД №3.Подраздел№1.pdf;1-2;"1;2";;high
d0d8bf65;3_АР_Раздел ПД №3.Подраздел№2.pdf;1-2;"1;2";;high
149ba798;3_АР_Храм.pdf;1-2;1;;high
542e523f;4. 07-2022-КР.pdf;1-6;"1;2;6";;high
638ba137;4. КР ЛЕН17.pdf;1-2;"1;2";;high
482d4484;428-22-КР (3).pdf;1-4;"2;3;4";;high
3a3824cf;428-22-ПЗУ.pdf;1-4;"2;3;4";;high
73b66ecc;4_КР_071122.pdf;1-2;"1;2";;high
e2234501;4_КР_Лавка.pdf;1-2;1;;high
c340afed;4_КР_Раздел ПД №4.Подраздел№1.pdf;1-2;"1;2";;high
45be8d0b;4_КР_Раздел ПД №4.Подраздел№2.pdf;1-2;"1;2";;high
45c8633a;4_КР_Раздел ПД №4.Подраздел№3.pdf;1-2;"1;2";;high
dd8a9d98;4_КР_Храм.pdf;1-2;1;;high
dbd93eac;5.1.1. 07-2022-ИОС 1.1.pdf;1-5;"1;2;5";;high
cbee2d69;5.1.2. 07-2022-ИОС 1.2.pdf;1-3;"1;2;3";;high
c20aa52a;5.1_428-22-ИОС1.pdf;1-4;"2;3;4";;high
7f681f54;5.1_ИОС1-1-55стр.pdf;1-2;"1;2";;high
12cdf827;5.2.1. 07-2022-ИОС 2.1.pdf;1-4;"1;2;4";;high
b2cc4779;5.2.1_ИОС2.1.pdf;1-2;"1;2";;high
a9148ccd;5.2.2. СЛТ-3022-ИОС 2.2.pdf;1-4;"1;2;4";;high
0df3d07d;5.2.2_ИОС2.2.pdf;1-2;"1;2";;high
cc741455;5.2.3. 07-2022-ИОС 2.3.pdf;1-4;"1;2;4";;high
964f6f11;5.2.3_ИОС2.3.pdf;1-2;"1;2";;high
623815ba;5.2_Раздел ПД №ИОС2.pdf;1-4;"2;3;4";;high
d5c54daf;5.3.1. 07-2022-ИОС 3.1.pdf;1-4;"1;2;4";;high
db2a7b34;5.3.1_ИОС3.1.pdf;1-2;"1;2";;high
9844197f;5.3.2. 07-2022-ИОС 3.2.pdf;1-4;"1;2;4";;high
